String ID,Enum,English
0,Admin_ResearchRmd01,Try to save enough money to build a research building! Research is essential for making progress.
1,Transport,Transport
2,Accept,Accept
3,Per_Day,${0} per day
4,Locked,Locked
5,NeedResearch,You need to research this before you can construct it.
6,Build,Build 
7,For, For $
8,NotEnoughCash,Not enough cash.
9,BtnBuy,Buy
10,BtnDemolish,Demolish
11,BtnTransfer,Transfer
12,Day,Day {0}
13,BtnBack,Back
14,BtnNext,Next
15,Cemetary,Cemetery
16,FieldPicketFenceEnclosure,Field Fence
17,FieldPicketFenceEnclosureDesc,Placeholder
18,CorruptedGrassEnclosure,Corrupted Grass
19,CorruptedGrassEnclosureDesc,Placeholder
20,CorruptedForestEnclosure,Corrupted Forest
21,CorruptedForestEnclosureDesc,Placeholder
22,PerTile,per tile
23,StructureOverlap,Must not overlap existing structure.
24,StructureTaller,Please make structure taller.
25,StructureWider,Please make structure wider.
26,StructureLarger,Please build a larger structure.
27,StructureTooLarge,This is too large.
28,StructureNoMoney,You do not have enough money.
29,NotEnoughMoneyCost,Not enough money: Cost ${0}
30,BuildCemetery,Build cemetery here.
31,Collection,Collection
32,SignIn,Sign In
33,Options,Options
34,Credits,Credits
35,PhotoMode,Photo Mode
36,Contact,Contact
37,Restore,Restore Purchases
38,Species,Species: {0}
39,Name,Name: {0}
40,Habitat,Habitat: {0}
41,DailyIncome,Daily income
42,ResearchLabDesc,"Research happens all the time... The more research facilities you construct, the quicker we discover things!"
43,ResearchComplete,~All research is complete in this category.
44,WaitingResearch,Waiting for new research options.
45,WrongHabitat,WRONG HABITAT - TRANSFER TO THE {0} BLOCK
46,Money,Money
47,Analogue,Stick - Analogue
48,Digital,Stick - Digital
49,Off,Stick - Off
50,AnalogueOnly,Analogue Stick Only
51,DigitalOnly,Digital Stick Only
52,MusicVolume,Music Volume
53,SFXVolume,SFX Volume
54,FlashingOff,Flashing Effects- Off
55,FlashingOn,Flashing Effects- On
56,BtnResearch,Research
57,BtnResume,Resume
58,BtnQuit,Quit
59,Remaining,remaining
60,BtnPlay,Play
61,QuitToMain,Quit To Main
62,Paused,PAUSED
63,Max,Max
64,Cost,Cost
65,Confirm,Confirm
66,Cancel,Cancel
67,Claim,Claim
68,Full,FULL
69,NoSpace,NO SPACE
70,Use,Use
71,Complete,Complete
72,LinkAccount,Link your account in the Sign In area to unlock a new alien.
73,Purchase01,Please Wait while we contact the purchase historians...
74,Purchase02,"Could not restore purchase history, please try again soon"
75,Purchase03,"Our historians are taking a bit too long, please try again later"
76,Purchase04,The archives have been restored!
77,Any,Any
78,LanguageSetting,Language
79,Yes,Yes
80,No,No
81,Skip,Skip
82,Store,Store
83,BuildKR,Build {0} for ${1}
84,Progress,Progress
85,CurrentIncome,Current Income: ${0}
86,Reset,Reset
87,GrassEnclosure,Grass
88,GrassEnclosureDesc,Perfect for little critters to play around in!
89,ForestEnclosure,Forest
90,ForestEnclosureDesc,Make your animals feel right at home with these lushy green vegetation.
91,SavannahEnclosure,Savannah
92,SavannahEnclosureDesc,Majestic yellow plains for your animals. 
93,DesertEnclosure,Desert
94,DesertEnclosureDesc,Hot scorching sand that keeps the desert critters happy.
95,MountainEnclosure,Mountain
96,MountainEnclosureDesc,Rocky mounds that gives mountain animals a workout. 
97,ArcticEnclosure,Arctic
98,ArcticEnclosureDesc,Animals that live in the cold would love to live in these enclosures!
99,TropicalEnclosure,Tropical
100,TropicalEnclosureDesc,Overgrown forests that is humid and hot. Some critters will really thrive here!
101,SmallGiftShop,Gift Stand
