String ID,Enum,Japanese
0,Admin_ResearchRmd01,探査する建物を建てるために必要なお金をためよう。探査はゲーム進展に欠かせない要素だ。
1,Transport,転送する
2,Accept,受け入れる
3,Per_Day, 一日あたり ${0}
4,Locked,ロック中
5,NeedResearch,建設する前にこの調査をする必要がある。
6,Build,建てる
7,For,費用$
8,NotEnoughCash,お金が不足しています
9,BtnBuy,購入する
10,BtnDemolish,取り壊す
11,BtnTransfer,輸送する
12,Day,日 {0}
13,BtnBack,もどる
14,BtnNext,次へ
15,Cemetary,共同墓地
16,FieldPicketFenceEnclosure,
17,FieldPicketFenceEnclosureDesc,
18,CorruptedGrassEnclosure,
19,CorruptedGrassEnclosureDesc,
20,CorruptedForestEnclosure,
21,CorruptedForestEnclosureDesc,
22,PerTile,タイルごと
23,StructureOverlap,既に存在している建物と重複はできません。
24,StructureTaller,建物を高くしてください。
25,StructureWider,建物を広くしてください。
26,StructureLarger,より大きな建物を建設してください。
27,StructureTooLarge,大きすぎます。
28,StructureNoMoney,お金が足りません。
29,NotEnoughMoneyCost,不十分なお金: コスト ${0}
30,BuildCemetery,ここに基地を建てる
31,Collection,コレクション
32,SignIn,サインイン
33,Options,オプション
34,Credits,クレジット
35,PhotoMode,写真モード
36,Contact,連絡先
37,Restore,購入記録を復元
38,Species,種族: {0}
39,Name,名前: {0}
40,Habitat,ハビタット: {0}
41,DailyIncome,日収
42,ResearchLabDesc,研究は常に行われています...より多くの研究施設を建設する程、より早く様々なものを発見する事ができるようになります。
43,ResearchComplete,~全ての研究はこのカテゴリーの中から完成させることができます。
44,WaitingResearch,新しい研究オプションを待っている最中です。
45,WrongHabitat,間違ったハビタット - {0}ブロックへの転送する
46,Money,お金
47,Analogue,スティック-アナログ
48,Digital,スティック-デジタル
49,Off,スティック-オフ
50,AnalogueOnly,アナログスティックのみ
51,DigitalOnly,デジタルスティックのみ
52,MusicVolume,音楽ボリューム
53,SFXVolume,SFXボリューム
54,FlashingOff,フラッシュ効果-オフ
55,FlashingOn,フラッシュ効果-オン
56,BtnResearch,リサーチ
57,BtnResume,再開する
58,BtnQuit,やめる
59,Remaining,あと 
60,BtnPlay,プレイ
61,QuitToMain,終了してメインに戻る
62,Paused,PAUSED
63,Max,マックス
64,Cost,コスト
65,Confirm,確認
66,Cancel,キャンセル
67,Claim,確認
68,Full,フル
69,NoSpace,スペースがありません
70,Use,使用
71,Complete,コンプリート
72,LinkAccount,サインインエリアでアカウントをリンクさえ、新しいエイリアンのロックを解除させます。
73,Purchase01,購入履歴に連絡するまで少々お待ちください...
74,Purchase02,購入履歴を復元できませんでした。すぐにもう一度お試しください
75,Purchase03,少し時間がかかりすぎています。しばらくしてからもう一度お試しください
76,Purchase04,アーカイブが復元されました！
77,Any,全て
78,LanguageSetting,言語
79,Yes,はい
80,No,いいえ
81,Skip,スキップ 
82,Store,ストア
83,BuildKR,Build {0} for ${1}
84,Progress,メモ
85,CurrentIncome,日収: ${0}
86,Reset,Reset
87,GrassEnclosure,
88,GrassEnclosureDesc,
89,ForestEnclosure,
90,ForestEnclosureDesc,
91,SavannahEnclosure,
92,SavannahEnclosureDesc,
93,DesertEnclosure,
94,DesertEnclosureDesc,
95,MountainEnclosure,
96,MountainEnclosureDesc,
97,ArcticEnclosure,
98,ArcticEnclosureDesc,
99,TropicalEnclosure,
100,TropicalEnclosureDesc,
101,SmallGiftShop,
102,SmallGiftShopDesc,
103,LionHotDogShop,
104,LionHotDogShopDesc,
105,ElephantGiftShop,
106,ElephantGiftShopDesc,
107,SignboardFront,
108,SignboardFrontDesc,
109,Lamppost,
110,LamppostDesc,
111,WhiteDustbin,
112,WhiteDustbinDesc,
113,GreenDustbin,
114,GreenDustbinDesc,
115,DrinksVendingMachine,
116,DrinksVendingMachineDesc,
117,SnacksVendingMachine,
118,SnacksVendingMachineDesc,
119,PlantPot,
120,PlantPotDesc,
121,RedFlag,
122,RedFlagDesc,
123,RoundFountain,
124,RoundFountainDesc,
125,IceCreamTruck,
126,IceCreamTruckDesc,
127,BigIceCreamShop,
128,BigIceCreamShopDesc,
129,CoconutShop,
130,CoconutShopDesc,
131,PandaBurgerShop,
132,PandaBurgerShopDesc,
133,BalloonShop,
134,BalloonShopDesc,
135,FlowerPatch,
136,FlowerPatchDesc,
137,DangerSign,
138,DangerSignDesc,
139,SmallDesertRockDeco,
140,SmallDesertRockDecoDesc,
141,DesertRockDeco,
142,DesertRockDecoDesc,
143,DesertCactusDeco,
144,DesertCactusDecoDesc,
145,KangarooPizzaShop,
146,KangarooPizzaShopDesc,
147,CottonCandyShop,
148,CottonCandyShopDesc,
149,SlushieShop,
150,SlushieShopDesc,
151,ChurroShop,
152,ChurroShopDesc,
153,WoodenToliet,
154,WoodenTolietDesc,
155,SnakeHuggingBooth,
156,SnakeHuggingBoothDesc,
157,TreeExhibit,
158,TreeExhibitDesc,
159,InfoBooth,
160,InfoBoothDesc,
161,BusStop,
162,BusStopDesc,
163,BarSignboardDesc,
164,Umbrella,
165,UmbrellaDesc,
166,BigTree,
167,BigTreeDesc,
168,TikiShelter,
169,TikiShelterDesc,
170,ZooMap,
171,ZooMapDesc,
172,BrownBench,
173,BrownBenchDesc,
174,WhiteBench,
175,WhiteBenchDesc,
176,NoSwimmingSign,
177,NoSwimmingSignDesc,
178,PottedPlantDesc,
179,ThickSignboardDesc,
180,ElephantFountain,
181,ElephantFountainDesc,
182,FloorLight,
183,FloorLightDesc,
184,RustyKegShop,
185,RustyKegShopDesc,
186,PopcornWeaselShop,
187,PopcornWeaselShopDesc,
188,Nursery,
189,NurseryDesc,
190,QuarantineOffice,
191,QuarantineOfficeDesc,
192,VetOffice,
193,VetOfficeDesc,
194,ElephantMarbleFountain,
195,ElephantMarbleFountainDesc,
196,FlamingoHedge,
197,FlamingoHedgeDesc,
198,GiraffeHedge,
199,GiraffeHedgeDesc,
200,ElephantHedge,
201,ElephantHedgeDesc,
202,MonkeyStatue,
203,MonkeyStatueDesc,
204,GiantSunFlower,
205,GiantSunFlowerDesc,
206,ZooStandee,
207,ZooStandeeDesc,
208,PenguinStandee,
209,PenguinStandeeDesc,
210,BearStandee,
211,BearStandeeDesc,
212,SnakeBench,
213,SnakeBenchDesc,
214,ZooTree,
215,ZooTreeDesc,
216,SnakeSignpost,
217,SnakeSignpostDesc,
218,UmbrellaBench,
219,UmbrellaBenchDesc,
220,MonkeyBanner,
221,MonkeyBannerDesc,
222,SakuraTree,
223,SakuraTreeDesc,
224,LionPlayground,
225,LionPlaygroundDesc,
226,SpringChicken,
227,SpringChickenDesc,
228,SpringHorse,
229,SpringHorseDesc,
230,RockElephant,
231,RockElephantDesc,
232,YellowBush,
233,YellowBushDesc,
234,RedFlower,
235,RedFlowerDesc,
236,WhiteFlower,
237,WhiteFlowerDesc,
238,PurpleFlower,
239,PurpleFlowerDesc,
240,PurpleFlowerPatch,
241,PurpleFlowerPatchDesc,
242,PenguinTrashbin,
243,PenguinTrashbinDesc,
244,SealStandee,
245,SealStandeeDesc,
246,RedShelter,
247,RedShelterDesc,
248,CrocCrossingSign,
249,CrocCrossingSignDesc,
250,MenuSign,
251,MenuSignDesc,
252,SmallBarTable,
253,SmallBarTableDesc,
254,NoPhotoSign,
255,NoPhotoSignDesc,
256,OwlClock,
257,OwlClockDesc,
258,HeShee,
259,HeSheeDesc,
260,Totem,
261,TotemDesc,
262,AztecSign,
263,AztecSignDesc,
264,AztecTorch,
265,AztecTorchDesc,
266,AztecPlant,
267,AztecPlantDesc,
268,WoodenTotem,
269,WoodenTotemDesc,
270,StoreRoom,
271,StoreRoomDesc,
272,ArchitectOffice,
