String ID,Enum,Portuguese
0,Admin_ResearchRmd01,Guarde dinheiro suficiente para construir uma unidade de pesquisa! Pesquisar é essencial para progredir.
1,Transport,Transporte
2,Accept,Aceitar
3,Per_Day,${0} por dia
4,Locked,Bloqueado
5,NeedResearch,Você precisa pesquisar antes de conseguir construir.
6,Build,Construir 
7,For, por $
8,NotEnoughCash,Pouco dinheiro.
9,BtnBuy,Comprar
10,BtnDemolish,DEMOLIR
11,BtnTransfer,TRANSFERIR
12,Day,dia {0}
13,BtnBack,Voltar
14,BtnNext,Próximo
15,Cemetary,Cemitério
16,FieldPicketFenceEnclosure,
17,FieldPicketFenceEnclosureDesc,
18,CorruptedGrassEnclosure,
19,CorruptedGrassEnclosureDesc,
20,CorruptedForestEnclosure,
21,CorruptedForestEnclosureDesc,
22,PerTile,por quadrado
23,StructureOverlap,Não pode sobrepor uma estrutura existente.
24,StructureTaller,Construa mais alto.
25,StructureWider,Construa mais largo.
26,StructureLarger,Construa uma estrutura maior.
27,StructureTooLarge,Está grande demais.
28,StructureNoMoney,Não há dinheiro suficiente.
29,NotEnoughMoneyCost,Pouco dinheiro: Custa ${0}
30,BuildCemetery,Construa o cemitério aqui.
31,Collection,Coleção
32,SignIn,Entrar
33,Options,Opções
34,Credits,Créditos
35,PhotoMode,Modo Foto
36,Contact,Contato
37,Restore,Recuperar Compras
38,Species,ESPÉCIES: {0}
39,Name,NOME: {0}
40,Habitat,HABITAT: {0}
41,DailyIncome,Renda diária
42,ResearchLabDesc,"A pesquisa não para... quanto mais unidades de pesquisa você construir, mais rápido será para descobrir coisas!"
43,ResearchComplete,~A pesquisa está completa nesta categoria
44,WaitingResearch,Aguardando novas opções de pesquisa.
45,WrongHabitat,HABITAT ERRADO - TRANSFERIR PARA O BLOCO {0}
46,Money,Dinheiro
47,Analogue,Controle - Analógico
48,Digital,Controle - Digital
49,Off,Controle - Desligado
50,AnalogueOnly,Apenas Controle Analógico
51,DigitalOnly,Apenas Controle Digital
52,MusicVolume,Volume da Música
53,SFXVolume,Volume de Efeitos
54,FlashingOff,Efeitos Brilhantes - Desligado
