String ID,Enum,Russian
0,Admin_ResearchRmd01,Постарайтесь накопить достаточно монет для постройки Исследовательского Корпуса! Исследования важны для прогресса.
1,Transport,Транспорт
2,Accept,Принять
3,Per_Day,${0} в день
4,Locked,Заблокировано
5,NeedResearch,"Вам надо изучить это перед тем, как вы сможете это построить."
6,Build,Построить 
7,For, за $ 
8,NotEnoughCash,Недостаточно денег
9,BtnBuy,Купить
10,BtnDemolish,СНЕСТИ
11,BtnTransfer,перечислить
12,Day,День {0}
13,BtnBack,Назад
14,BtnNext,Далее
15,Cemetary,Кладбище
16,CorruptedGrassEnclosure,
17,CorruptedGrassEnclosureDesc,
18,CorruptedForestEnclosure,
19,CorruptedForestEnclosureDesc,
20,CorruptedGrassEnclosure,
21,CorruptedGrassEnclosureDesc,
22,PerTile,за клетку
23,StructureOverlap,Нельзя построить на существующем строении
24,StructureTaller,Пожалуйста. постройте более высокое строение.
25,StructureWider,Пожалуйста. постройте более широкое строение.
26,StructureLarger,Пожалуйста. постройте строение побольше.
27,StructureTooLarge,Слишком большое строение.
28,StructureNoMoney,У вас недостаточно денег.
29,NotEnoughMoneyCost,Недостаточно денег. Стоит ${0}
30,BuildCemetery,Постройте кладбище здесь.
31,Collection,Коллекция
32,SignIn,Войти в Аккаунт
33,Options,Настройки
34,Credits,Титры
35,PhotoMode,Режим Фото
36,Contact,Обратная Связь
37,Restore,Восстановить Покупки
38,Species,ВИДЫ: {0}
39,Name,ИМЯ: {0}
40,Habitat,МЕСТО ОБИТАНИЯ: {0}
41,DailyIncome,Ежедневная прибыль
42,ResearchLabDesc,"Исследования происходят ежедневно... Чем больше исследовательских корпусов вы построите, тем быстрее мы будем открывать что-то новое!"
43,ResearchComplete,"~В этой категории вы исследовали все, что можно. ."
44,WaitingResearch,Ожидание новых исследований.
45,WrongHabitat,НЕПРАВИЛЬНОЕ МЕСТО ОБИТАНИЯ - ПЕРЕВОДИТЕ В {0} БЛОК
46,Money,Деньги
47,Analogue,Джойстик - Аналоговый
48,Digital,Джойстик - Цифровой
49,Off,Джойстик - Отключен
50,AnalogueOnly,Только Аналоговый Джойстик
51,DigitalOnly,Только Цифровой Джойстик
52,MusicVolume,Громкость Музыки
53,SFXVolume,Громкость Эффектов
54,FlashingOff,Эффекты Мерцания - Выкл
